,DoY,Hour,Tair,Rg,GPP_uStar_f,PAR,GPP_Sim,LAI_Sim
35741,15.0,14.5,-2.2532,194.44,0.074269,400.082304526749,7.991161542465869,0.0054
35742,15.0,15.0,-2.3633,121.48,0.32214,249.95884773662553,4.99262653866876,0.0054
35743,15.0,15.5,-2.4606,134.88,0.29301,277.5308641975309,5.543344316230181,0.0054
35744,15.0,16.0,-2.6339,65.34,1.9642,134.44444444444446,2.6853656407360615,0.0054
35775,16.0,7.5,-5.1939,29.74,0.19034,61.19341563786008,1.2222646794534813,0.0054
35776,16.0,8.0,-5.1596,110.06,-0.27337,226.46090534979425,4.523283477493281,0.0054
35777,16.0,8.5,-4.7585,102.0,-0.25684,209.87654320987656,4.192030844124247,0.0054
35778,16.0,9.0,-4.5421,65.52,2.9349,134.8148148148148,2.6927633422256925,0.0054
35779,16.0,9.5,-4.2894,69.77,2.0527,143.559670781893,2.8674312940642026,0.0054
35780,16.0,10.0,-4.1405,102.41,0.0557929999999999,210.72016460905348,4.208881164183961,0.0054
35781,16.0,10.5,-3.8676,159.65,0.053488,328.4979423868313,6.561350237886628,0.0054
35782,16.0,11.0,-3.3837,121.77,0.20032,250.55555555555554,5.004545057735387,0.0054
35783,16.0,11.5,-3.1566,90.69,0.3259,186.60493827160494,3.727208600525764,0.0054
35784,16.0,12.0,-2.8387,90.57,0.3395,186.35802469135803,3.7222767995326764,0.0054
35785,16.0,12.5,-2.3084,145.21,0.21169,298.7860082304527,5.967890185051783,0.0054
35786,16.0,13.0,-2.0246,68.12,2.1699,140.16460905349797,2.7996190304092523,0.0054
35787,16.0,13.5,-1.6264,162.36,0.0863049999999999,334.07407407407413,6.672726743647185,0.0054
35788,16.0,14.0,-1.0544,370.18,0.22103,761.687242798354,15.213784096842291,0.0054
35789,16.0,14.5,-0.6566,274.1,0.1396599999999999,563.9917695473251,11.265055435043687,0.0054
35790,16.0,15.0,-0.8572,76.3,0.45466,156.99588477366254,3.1358034647713726,0.0054
35791,16.0,15.5,-0.8756,43.16,-0.24666,88.80658436213992,1.7738044238470831,0.0054
35823,17.0,7.5,-13.479,56.64,-0.14169,116.54320987654322,2.3278100687372287,0.0054
35824,17.0,8.0,-13.1772,134.09,-0.6388199999999999,275.9053497942387,5.510876626359022,0.0054
35825,17.0,8.5,-12.7187,213.08,-0.6005,438.4362139917696,8.75723463005877,0.0054
35826,17.0,9.0,-12.5286,278.3,-0.9172,572.6337448559672,11.437668469801745,0.0054
35827,17.0,9.5,-11.7791,350.7,-3.382,721.604938271605,14.413188402297777,0.0054
35828,17.0,10.0,-10.8631,398.76,-2.9178,820.4938271604939,16.38837470002926,0.0054
35829,17.0,10.5,-10.0842,460.13,-0.70082,946.7695473251028,18.91057992457735,0.0054
35830,17.0,11.0,-9.4072,496.3,0.40507,1021.1934156378601,20.397106940577093,0.0054
35831,17.0,11.5,-8.69,491.59,-0.2357199999999999,1011.5020576131687,20.203533751598417,0.0054
